link,name,adr,price,price_for_m2,total_area
https://www.reality.sk//byty/utulny-1-izb-byt-ul-csl-parasutistov/JuMTAwrSLTs/,"útulný 1 izb. byt, ul. Čsl. parašutistov", Bratislava-Nové Mesto  Československých parašutistov,146 900 ,5066 €/m², 29 m²
https://www.reality.sk//byty/3-izb-byt-sedmokraskova-ul-po-novej-rekonstrukcii/JufwGM2nuln/,"3 izb. byt, Sedmokráskova ul., po novej rekonštrukcii", Bratislava-Ružinov  Sedmokraskova,249 900 ,3785 €/m²," 66,02 m²"
https://www.reality.sk//byty/na-predaj-2-izbovy-byt-s-loggiou-na-hranicnej-ul-v-ruzinove/JuWOUvv5fOu/,na predaj 2-izbový byt s loggiou  na Hraničnej ul. v Ružinove., Bratislava-Ružinov  Hraničná,193 500 ,4061 €/m²," 47,65 m²"
https://www.reality.sk//byty/novo-zrekonstr-2-izb-byt-kadnarova-ul/JuT4raBSC7Q/,"NOVO zrekonštr. 2 izb. byt, KADNÁROVA ul.", Bratislava-Rača  Kadnárova,149 000 ,3740 €/m²," 39,84 m²"
https://www.reality.sk//byty/4-izb-mezonetovy-byt-s-terasami-v-novostavbe-teslova-ul/Jul-WKY7hGW/,"4 izb. MEZONETOVY byt s terasami v novostavbe, TESLOVA ul.", Bratislava-Ružinov  Teslova,599 000 ,3951 €/m²," 151,61 m²"
https://www.reality.sk//byty/agent-sk-na-predaj-pekny-podkrovny-byt-bratislava-nivy/JuGY_J2tdNw/,"AGENT.SK | Na predaj pekný podkrovný byt, Bratislava - Nivy", Bratislava-Ružinov  Miletičova,294 900 ,3104 €/m², 95 m²
https://www.reality.sk//byty/svetly-priestranny-3-izb-byt-dunajska-ul/JuXWCSOKGDx/,"Svetlý, priestranný 3 izb. byt, DUNAJSKÁ ul.", Bratislava-Staré Mesto  Dunajská,290 000 ,3718 €/m², 78 m²
https://www.reality.sk//byty/na-predaj-1izbovy-byt-v-karlovej-vsi-na-silvanskej-ul/JuSzDi1Rvy5/,Na predaj 1izbový byt v Karlovej Vsi na Silvánskej ul., Bratislava-Karlova Ves  Silvánska,119 900 ,3868 €/m², 31 m²
https://www.reality.sk//byty/babony-tre-3-izbovy-byt-s-terasou-a-zahradkou-na-turbinovej-1-v-ba/JuiDwb3BE9d/,Babony TRE | 3 izbový byt s terasou a záhradkou na Turbínovej 1 v BA, Bratislava-Nové Mesto  Turbínová,257 040 ,3570 €/m², 72 m²
https://www.reality.sk//byty/babony-tre-na-predaj-krasny-3-izbovy-byt-v-ruzinove-ostredky/JuZo85txS4N/,Babony TRE | Na predaj krásny 3 izbový byt v Ružinove - Ostredky, Bratislava-Ružinov  Ostredková,239 900 ,3869 €/m², 62 m²
https://www.reality.sk//byty/bezkonkurencna-zlava-na-2i-byty-vo-vyske-15-000/JuYxPPQvVnhG/,"Bezkonkurenčná zľava na 2i byty vo výške 15.000,- €", Bratislava-Rača  Sklabinská,166 304 ,3188 €/m²," 52,16 m²"
https://www.reality.sk//byty/3d-predaj-3i-bytu-novostavba-citypark-ruzinov-plynarenska-ul-ba-ii/JuKrA013hbv/,"3D, predaj 3i bytu, novostavba CityPark Ružinov, Plynárenská ul, BA II", Bratislava-Ružinov  Plynárenská,349 990 ,4156 €/m²," 84,21 m²"
https://www.reality.sk//byty/predaj-1-izbovy-byt-s-balkonom-ovocne-sady-ba-ruzinov/JuZBK5drkgS/,"PREDAJ, 1 izbový byt s balkónom, Ovocné sady , BA - Ružinov", Bratislava-Ružinov  Ivanská cesta,139 000 ,4385 €/m²," 31,7 m²"
https://www.reality.sk//byty/rodinny-3-izb-byt-na-latorickej-ulici/JukUF88vihB/,Rodinný 3-izb. byt na Latorickej ulici, Bratislava-Ružinov  Latoricka,175 000 ,2778 €/m², 63 m²
