link,name,adr,price,price_for_m2,total_area
https://www.topreality.sk/exkluzivne-predaj-3izb-bytu-novostavby-so-zahradkou-v-standarde-s-kuchynskou-linkou-damon-r8473080.html,!!!EXKLUZÍVNE!!! Predaj 3izb. bytu NOVOSTAVBY so záhradkou v štandarde s kuchynskou linkou DAMON,Bratislava-Podunajské Biskupice (Bratislava II),237 490 €,"3 253,29 €/m2",73 m2
https://www.topreality.sk/posledny-volny-predaj-3izb-bytu-novostavby-v-standarde-s-kuchynskou-linkou-damon-r8473010.html,!!!Posledný volný!! Predaj 3izb. bytu NOVOSTAVBY v štandarde s kuchynskou linkou DAMON,Bratislava-Podunajské Biskupice (Bratislava II),227 490 €,"2 786,84 €/m2",82 m2
https://www.topreality.sk/level-real-komfortny-4-izbovy-byt-v-standarde-s-lodziou-opal-jarovce-r8514143.html,LEVEL REAL / KOMFORTNÝ 4-IZBOVÝ BYT v ŠTANDARDE s LODŽIOU/ OPÁL JAROVCE,"Perlová,  Bratislava-Jarovce (Bratislava V)",339 000 €,"3 766,67 €/m2",90 m2
https://www.topreality.sk/level-real-4-izbovy-byt-v-standarde-s-lodziou-opal-jarovce-r8514142.html,LEVEL REAL / 4-IZBOVÝ BYT v ŠTANDARDE s LODŽIOU/ OPÁL JAROVCE,"Perlová,  Bratislava-Jarovce (Bratislava V)",279 900 €,"3 180,68 €/m2",88 m2
https://www.topreality.sk/rezervovane-v-peknom-prostredi-predame-priestranny-slnecny-3-izb-byt-v-novostavbe-s-terasou-dve-parkovacie-miesta-r8409552.html,"REZERVOVANÉ *** V PEKNOM PROSTREDÍ PREDÁME PRIESTRANNÝ SLNEČNÝ 3 IZB. BYT V NOVOSTAVBE S TERASOU, DVE PARKOVACIE MIESTA","Pod Krásnou hôrkou,  Bratislava-Nové Mesto (Bratislava III)",398 500 €,"4 716,53 €/m2",84 m2
https://www.topreality.sk/velkorysy-4-izbovy-mezonet-s-terasou-a-parkoviskom-v-starom-meste-r7884623.html,VEĽKORYSÝ 4 IZBOVÝ MEZONET S TERASOU A PARKOVISKOM V STAROM MESTE,"Palisády,  Bratislava-Staré Mesto (Bratislava I)",649 000 €,"3 511,90 €/m2",185 m2
https://www.topreality.sk/na-predaj-3i-byt-na-rozhrani-romantickeho-prievozu-a-atraktivneho-ruzinova-r8476434.html,Na predaj 3i byt na rozhraní romantického Prievozu a atraktívneho Ružinova,"Mierová,  Bratislava-Ružinov (Bratislava II)",cena dohodou,,70 m2
https://www.topreality.sk/na-predaj-slusna-dvojgarsonka-na-stavbarskej-ulici-vo-vrakuni-bratislava-r8526164.html,"Na predaj slušná dvojgarsónka na Stavbárskej ulici vo Vrakuni, Bratislava","Stavbárska,  Bratislava-Vrakuňa (Bratislava II)",60 000 €,"1 428,57 €/m2",42 m2
https://www.topreality.sk/plus-reality-velky-jednoizbovy-byt-pod-bratislavskym-hradom-na-predaj-r8528141.html,PLUS REALITY | Veľký jednoizbový byt pod Bratislavským hradom na predaj!,"Mikulášska,  Bratislava-Staré Mesto (Bratislava I)",240 000 €,"4 743,08 €/m2",51 m2
https://www.topreality.sk/predaj-3-izb-byt-nove-mesto-r8528121.html,"PREDAJ 3-IZB. BYT, NOVÉ MESTO","Šancová,  Bratislava-Nové Mesto (Bratislava III)",220 000 €,"3 013,70 €/m2",73 m2
https://www.topreality.sk/medzilaborecka-ul-predame-3-izbovy-byt-r8528114.html,Medzilaborecká ul. - predáme 3 izbový byt,"Medzilaborecká,  Bratislava-Ružinov (Bratislava II)",199 000 €,"2 646,98 €/m2",75 m2
https://www.topreality.sk/na-predaj-2-izbovy-velkometrazny-byt-v-starom-meste-miczkewicowa-14-r7868857.html,"NA PREDAJ 2 IZBOVÝ VEĽKOMETRÁŽNY BYT V STAROM MESTE ( Miczkewicowa,14)","Mickiewiczova,  Bratislava-Staré Mesto (Bratislava I)",350 000 €,"3 500,00 €/m2",100 m2
