link,name,adr,price,price_for_m2,total_area
https://www.nehnutelnosti.sk/5333786/bory-kompaktny-1-5-izbovy-byt-v-standarde-ul-tomislava-p-kolakovica/,"BORY - KOMPAKTNÝ 1,5 IZBOVÝ BYT V ŠTANDARDE - ul. TOMISLAVA P. KOLAKOVIČA","Bratislava IV - Devínska Nová Ves, okres Bratislava",147 999 €,"3 523,79 €/m²",42 m²
https://www.nehnutelnosti.sk/5336506/martincekova-ulica-rodinny-3i-byt/,Martinčekova ulica - rodinný 3i byt,"Bratislava II - Ružinov, okres Bratislava",196 000 €,"2 840,58 €/m²",69 m²
https://www.nehnutelnosti.sk/5333680/bory-kompaktny-1-5-izbovy-byt-v-standarde-ul-tomislava-p-kolakovica/,"BORY - KOMPAKTNÝ 1,5 IZBOVÝ BYT V ŠTANDARDE - ul. TOMISLAVA P. KOLAKOVIČA","Bratislava IV - Devínska Nová Ves, okres Bratislava",147 999 €,"3 523,79 €/m²",42 m²
https://www.nehnutelnosti.sk/5332359/vyborne-rieseny-3izbovy-byt-s-loggiou-v-srdci-race-na-plickovej-ul/,"VÝBORNE RIEŠENÝ 3izbový BYT s LOGGIOU,  V SRDCI RAČE na PLICKOVEJ ul.","Bratislava III - Rača, okres Bratislava",159 990 €,"2 253,38 €/m²",71 m²
https://www.nehnutelnosti.sk/5288836/dispozicne-zaujimavy-3i-byt-v-dobrej-lokalite-karlovej-vsi/,Dispozične zaujímavý 3i byt v dobrej lokalite Karlovej Vsi,"Segnerova, Bratislava IV - Karlova Ves, okres Bratislava",175 000 €,"2 651,52 €/m²",66 m²
https://www.nehnutelnosti.sk/5310425/prijemny-3i-byt-s-2-lodziami-na-majernikovej-ul/,Príjemný 3i byt s 2 lodžiami na Majerníkovej ul.,"Majerníkova, Bratislava IV - Karlova Ves, okres Bratislava",179 000 €,"2 671,64 €/m²",67 m²
https://www.nehnutelnosti.sk/5330450/bory-novy-dvor-3izbovy-byt-s-velkou-zahradou/,BORY - Nový Dvor - 3izbový byt s veľkou záhradou,"Bratislava IV - Lamač, okres Bratislava",264 900 €,"1 933,58 €/m²",137 m²
https://www.nehnutelnosti.sk/5159895/koliba-bezchybny-3izbovy-byt-s-terasou-v-projekte-belaria/,KOLIBA - BEZCHYBNÝ 3IZBOVÝ BYT S TERASOU V PROJEKTE BELARIA,"Svätovavrinecká, Bratislava III - Nové Mesto, okres Bratislava",314 900 €,"3 704,71 €/m²",85 m²
https://www.nehnutelnosti.sk/5317911/velky-1-izb-byt-v-bratislave-petrzalke-na-predaj/,Veľký 1 izb. byt v Bratislave - Petržalke na predaj,"Budatínska, Bratislava V - Petržalka, okres Bratislava",137 900 €,"2 934,04 €/m²",47 m²
https://www.nehnutelnosti.sk/5263550/arvin-benet-kompletne-zariadeny-2i-byt-vhodny-knastahovaniu-alebo-ako-investicia/,Arvin & Benet | Kompletne zariadený 2i byt vhodný k nasťahovaniu alebo ako investícia,"Chalupkova, Bratislava I - Staré Mesto, okres Bratislava",279 000 €,"5 812,50 €/m²",48 m²
https://www.nehnutelnosti.sk/5334926/arvin-benet-utulny-byt-blizko-slavina-ci-horskeho-parku/,Arvin & Benet | Útulný byt blízko Slavína či Horského parku,"Mozartova 12, Bratislava I - Staré Mesto, okres Bratislava",149 000 €,"3 898,48 €/m²","38,22 m²"
https://www.nehnutelnosti.sk/5275992/bosen-3-izbovy-byt-2x-zahradka-spolu-208-m2-projekt-opal-perlova-ul/,"BOSEN | 3 izbový byt, 2x záhradka, spolu 208 m2, projekt OPÁL, Perlová ul.","Perlová, Bratislava V - Jarovce, okres Bratislava",254 000 €,"3 708,03 €/m²","68,5 m²"
https://www.nehnutelnosti.sk/5158375/predaj-priestranny-1-izbovy-byt-v-starom-meste/,"Predaj, priestranný 1-izbový byt v Starom meste","Radlinského, Bratislava I - Staré Mesto, okres Bratislava",199 000 €,"4 422,22 €/m²",45 m²
https://www.nehnutelnosti.sk/5055385/predaj-2-izbovy-byt-v-raci/,Predaj - 2 izbový byt v Rači,"Hybešova, Bratislava III - Rača, okres Bratislava",143 900 €,"3 689,74 €/m²",39 m²
https://www.nehnutelnosti.sk/4976645/byty-rinok-raca-predaj/,BYTY Rínok Rača | predaj,"Kubačova, Bratislava III - Rača, okres Bratislava",198 280 €,"4 723,20 €/m²","41,98 m²"
https://www.nehnutelnosti.sk/5300299/vyhlad-panorama-80-21m2-rozsiahly-a-neobyvany-nova-komplet-rekonstrukcia/,"Výhľad panoráma, 80,21m2, rozsiahly a neobývaný, nová komplet rekonštrukcia","Janka Alexyho 3, Bratislava IV - Dúbravka, okres Bratislava",233 500 €,"2 911,11 €/m²","80,21 m²"
https://www.nehnutelnosti.sk/5349280/predaj-moderneho-2-izboveho-bytu-na-panonskej-ceste/,PREDAJ moderného 2 izbového bytu na Panónskej ceste.,"Panónska cesta, Bratislava V - Petržalka, okres Bratislava",178 000 €,"3 392,41 €/m²","52,47 m²"
https://www.nehnutelnosti.sk/5350208/4-izb-byt-krikova-ulica-vrakuna-vyborna-cena/,4 izb. byt Kríková ulica Vrakuňa - výborná cena,"Kríková, Bratislava II - Vrakuňa, okres Bratislava",142 000 €,"1 731,71 €/m²",82 m²
https://www.nehnutelnosti.sk/5349715/dvojgarsonka-s-panoramatickym-vyhladom/,Dvojgarsónka s panoramatickým výhľadom,"Beňadická, Bratislava V - Petržalka, okres Bratislava",136 000 €,"3 661,82 €/m²","37,14 m²"
