,link,name,adr,price,price_for_m2,total_area
6873,https://www.reality.sk//byty/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur/JumFJU3qO4v/,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,svätoplukovaružinov,2356644.0,6404.0,37
2651,https://www.nehnutelnosti.sk/4997034/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur/,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,203245.32,4921.19,41
6861,https://www.reality.sk//byty/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur/JuYMhdP81Sg/,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,svätoplukovaružinov,2484672.0,6752.0,37
2638,https://www.nehnutelnosti.sk/4997043/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur/,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,204771.81,4958.16,41
2589,https://www.nehnutelnosti.sk/5081700/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur/,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,svätoplukovaružinov,235664.4,6403.92,37
10916,https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8431249.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,204772.0,4958.162,41
10817,https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8434664.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,svätoplukovaružinov,235664.0,6403.922,37
2643,https://www.nehnutelnosti.sk/4997030/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur/,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,201712.1,4884.07,41
2645,https://www.nehnutelnosti.sk/4996475/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur/,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,212438.22,5143.78,41
2717,https://www.nehnutelnosti.sk/5191549/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,178758.0,4844.39,37
2684,https://www.nehnutelnosti.sk/5193371/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,132182.4,4687.32,28
2671,https://www.nehnutelnosti.sk/5191531/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,166104.0,4501.46,37
2636,https://www.nehnutelnosti.sk/5193377/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,132826.8,4710.17,28
2633,https://www.nehnutelnosti.sk/5193368/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,130147.2,4615.15,28
7153,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/Ju0tuKWFRah/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,131298.0,4656.0,28
2611,https://www.nehnutelnosti.sk/5191555/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,179618.4,4867.71,37
6968,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/Jup8KWm9pOu/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,1314588.0,4662.0,28
6967,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/JuB4iKtX784/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,1301472.0,4615.0,28
2654,https://www.nehnutelnosti.sk/5193361/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,131458.8,4661.66,28
2713,https://www.nehnutelnosti.sk/5191545/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,177043.2,4797.92,37
2653,https://www.nehnutelnosti.sk/5191530/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,166639.2,4515.97,37
6904,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/JuNLufGnifQ/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,1328268.0,4710.0,28
10892,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8386448.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,131459.0,4661.662,28
6899,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/Ju-P0k6RJDF/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,1796184.0,4868.0,37
6892,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/JuWkz9c7mxm/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,1666392.0,4516.0,37
6891,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/JujnARvznjC/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,1321824.0,4687.0,28
6877,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/JuiP6TNxfRp/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,178758.0,4844.0,37
10831,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8422248.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,166104.0,4501.462,37
6911,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/Ju0PwNmus8J/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,166104.0,4501.0,37
